Zairyo_Kosei_ID,Shiyo_ID,Sort_No,Zairyo_ID,Zairyo_Keisu,Teisyaku,Tani_ID,Konpo_Calc_Flg,Setsumei,Zairyo_Keisu_Default,Teisyaku_Default,Tani_ID_Default,Konpo_Calc_Flg_Default,Setsumei_Default,Zairyo_Tanka_Ref_Col1,Zairyo_Tanka_Ref_Col2,Zairyo_Tanka_Ref_Col3,Zairyo_Tanka_Ref_Col4,Sort_No_Default,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
10107,510701010,1,51010011,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10108,510701011,1,51010012,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10109,510701012,1,51010013,10.8922,,17,1,,10.8922,,17,1,,,,,,1,1,0,0,,
10110,510701013,1,51010014,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10111,510701014,1,51010015,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10112,510701015,1,51010016,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10113,510701016,1,51010017,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10114,510701017,1,51010018,22.2222,,17,1,,22.2222,,17,1,,,,,,1,1,0,0,,
10115,510701018,1,51010019,2.7778,,17,1,,2.7778,,17,1,,,,,,1,1,0,0,,
10116,510702001,1,51020001,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10117,510702002,1,51020002,4.8516,,17,1,,4.8516,,17,1,,,,,,1,1,0,0,,
10118,510702003,1,51020003,3.9212,,17,1,,3.9212,,17,1,,,,,,1,1,0,0,,
10119,510704001,1,51040001,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10120,510704002,1,51040002,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10121,510704004,1,51040004,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10122,510704041,1,51040041,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10123,510704042,1,51040042,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10124,510704005,1,51040005,4.9383,,17,1,,4.9383,,17,1,,,,,,1,1,0,0,,
10125,510704007,1,51040007,7.4074,,17,1,,7.4074,,17,1,,,,,,1,1,0,0,,
10126,510704008,1,51040008,2.7778,,17,1,,2.7778,,17,1,,,,,,1,1,0,0,,
10127,510704009,1,51040009,2.4691,,17,1,,2.4691,,17,1,,,,,,1,1,0,0,,
