Zairyo_Kosei_ID,Shiyo_ID,Sort_No,Zairyo_ID,Zairyo_Keisu,Teisyaku,Tani_ID,Konpo_Calc_Flg,Setsumei,Zairyo_Keisu_Default,Teisyaku_Default,Tani_ID_Default,Konpo_Calc_Flg_Default,Setsumei_Default,Zairyo_Tanka_Ref_Col1,Zairyo_Tanka_Ref_Col2,Zairyo_Tanka_Ref_Col3,Zairyo_Tanka_Ref_Col4,Sort_No_Default,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
7640,317021014,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7641,317021015,1,2020002,0.615,,,,,0.615,,,,,,,,,1,1,0,0,,
7642,317021015,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7643,317021016,1,2020002,0.6106,,,,,0.6106,,,,,,,,,1,1,0,0,,
7644,317021016,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7645,317022001,1,2020003,0.2198,,,,,0.2198,,,,,,,,,1,1,0,0,,
7646,317022001,2,2300001,0.084,,,,,0.084,,,,,,,,,2,1,0,0,,
7647,317022002,1,2020003,0.293,,,,,0.293,,,,,,,,,1,1,0,0,,
7648,317022002,2,2300001,0.126,,,,,0.126,,,,,,,,,2,1,0,0,,
7649,317022003,1,2020003,0.3663,,,,,0.3663,,,,,,,,,1,1,0,0,,
7650,317022003,2,2300001,0.168,,,,,0.168,,,,,,,,,2,1,0,0,,
7651,317022004,1,2020003,0.4579,,,,,0.4579,,,,,,,,,1,1,0,0,,
7652,317022004,2,2300001,0.21,,,,,0.21,,,,,,,,,2,1,0,0,,
7653,317022005,1,2020003,0.5535,,,,,0.5535,,,,,,,,,1,1,0,0,,
7654,317022005,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7655,317022006,1,2020003,0.5495,,,,,0.5495,,,,,,,,,1,1,0,0,,
7656,317022006,2,2300001,0.252,,,,,0.252,,,,,,,,,2,1,0,0,,
7657,317022011,1,2020003,0.7327,,,,,0.7327,,,,,,,,,1,1,0,0,,
7658,317022011,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7659,317022012,1,2020003,0.6511,,,,,0.6511,,,,,,,,,1,1,0,0,,
7660,317022012,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7661,317022013,1,2020003,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7662,317022013,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7663,317022014,1,2020003,0.6105,,,,,0.6105,,,,,,,,,1,1,0,0,,
7664,317022014,2,2300001,0.28,,,,,0.28,,,,,,,,,2,1,0,0,,
7665,317022015,1,2020003,0.615,,,,,0.615,,,,,,,,,1,1,0,0,,
