Shiyo_Shubetsu_Kbn_ID,Koshu_ID,Shiyo_Shubetsu_ID,Seko_Tanka_Kbn_ID,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF,Shiyo_Shubetsu_Nm
140,12,429,651,1,0,0,,,長尺ｼｰﾄ(特殊機能)
141,12,430,651,1,0,0,,,ﾘﾉﾘｳﾑ床ｼｰﾄ
142,12,431,651,1,0,0,,,防滑性ﾋﾞﾆﾙ床ｼｰﾄ
143,12,432,651,1,0,0,,,防滑性ﾋﾞﾆﾙ床ｼｰﾄ(階段用)
144,12,441,652,1,0,0,,,ﾀｲﾙｶｰﾍﾟｯﾄ
145,12,442,652,1,0,0,,,ﾀｲﾙｶｰﾍﾟｯﾄ(特殊機能)
146,12,443,652,1,0,0,,,ﾌﾟﾘﾝﾄｶｰﾍﾟｯﾄﾀｲﾙ
147,12,444,652,1,0,0,,,ﾌｧﾌﾞﾃｯｸﾀｲﾙ
148,12,445,652,1,0,0,,,ﾌｧﾌﾞﾘｯｸﾌﾛｱ
149,12,446,652,1,0,0,,,住宅用ﾎｰﾑﾀｲﾙ
150,12,447,652,1,0,0,,,視覚障がい者誘導用ﾀｲﾙｶｰﾍﾟｯﾄ
151,12,451,652,1,0,0,,,ｱｷｽﾐﾝｽﾀｰｶｰﾍﾟｯﾄ
152,12,452,652,1,0,0,,,ｳｲﾙﾄﾝｶｰﾍﾟｯﾄ
153,12,453,652,1,0,0,,,ﾀﾌﾃｯﾄﾞｶｰﾍﾟｯﾄ
154,12,454,652,1,0,0,,,ｳｰﾙｶｰﾍﾟｯﾄ
155,12,455,652,1,0,0,,,ｶﾗｰﾃｯｸ
156,12,456,652,1,0,0,,,ｸﾞﾗﾌｨｶﾛｰﾙｶｰﾍﾟｯﾄ
157,12,457,652,1,0,0,,,ﾎﾟﾘﾌﾟﾛﾋﾟﾚﾝｶｰﾍﾟｯﾄ
158,12,458,652,1,0,0,,,ﾍﾞｰｼｯｸｶｰﾍﾟｯﾄ
159,12,459,652,1,0,0,,,ｶﾗｰｺﾚｸｼｮﾝ
160,12,460,652,1,0,0,,,機能性ｶｰﾍﾟｯﾄ
161,12,461,652,1,0,0,,,ﾆｰﾄﾞﾙﾊﾟﾝﾁｶｰﾍﾟｯﾄ
